Task Name,Parent Task,Status,Description
"GM Kampagnen-Suite: Kampagnen-Hub, Vorbereitung und Live-Session-Dashboard","","to do","Als GM moechte ich Kampagnen systemunabhaengig planen, strukturieren und live am Spieltisch leiten koennen. Charaktertracking bleibt nicht Fokus dieser Aufgabe; vorhandene Charaktere werden nur angebunden. Die Suite soll Kampagnen-Hub, verknuepfte GM-Datenbank, Abenteuer-/Session-Struktur, Live-Dashboard, Tracker, Freigaben, Suche und GM Screen abdecken."
"Datenmodell fuer GM Kampagnen-Suite erweitern","GM Kampagnen-Suite: Kampagnen-Hub, Vorbereitung und Live-Session-Dashboard","to do","Campaign, CampaignSession und CustomGmModule erweitern. Benoetigt: Kampagnenbild, Status, Systemprofil, Ton, Spielertext, GM-Notizen, Session-Ziel, Vorbereitung, Recap, Live-Notizen, offene Fragen, Szenen und Beziehungen."
"Kampagnen-Hub UI konzipieren und bauen","GM Kampagnen-Suite: Kampagnen-Hub, Vorbereitung und Live-Session-Dashboard","to do","Startseite fuer aktive Kampagne bauen: naechste Session, offene Quests, aktive Fraktionen, wichtige Orte, aktive Bedrohungen, letzte Ereignisse und Schnellaktionen."
"GM-Baukasten um Szenen und Beziehungen erweitern","GM Kampagnen-Suite: Kampagnen-Hub, Vorbereitung und Live-Session-Dashboard","to do","Eintragstyp Szene ergaenzen. Beziehungstypen fuer Module bauen: gehoert zu, befindet sich in, tritt auf in, kontrolliert, verbuendet, feindlich, Questgeber, Ziel, Geheimnis, fuehrt zu, Konsequenz."
"Abenteuerstruktur mit Arc/Kapitel/Session/Szene umsetzen","GM Kampagnen-Suite: Kampagnen-Hub, Vorbereitung und Live-Session-Dashboard","to do","Hierarchie Kampagne -> Arc/Kapitel -> Session -> Szene -> Module bauen. One-Shots und lange Kampagnen muessen beide funktionieren."
"Live-Session-Dashboard bauen","GM Kampagnen-Suite: Kampagnen-Hub, Vorbereitung und Live-Session-Dashboard","to do","Aktive Kampagne, aktive Session und aktive Szene anzeigen. Layout: Szenenliste links, aktive Szene mittig, Tracker/Gegner/Freigaben rechts, Log/History unten oder als Tab."
"Generische Tracker und Countdowns umsetzen","GM Kampagnen-Suite: Kampagnen-Hub, Vorbereitung und Live-Session-Dashboard","to do","Systemunabhaengige Tracker bauen: Ressource, Countdown/Clock, Front/Bedrohung, Initiative/Reihenfolge optional, Szenenaspekt/Tag. Sichtbarkeit fuer Spieler konfigurierbar."
"Freigabe- und Spieler-Preview verbessern","GM Kampagnen-Suite: Kampagnen-Hub, Vorbereitung und Live-Session-Dashboard","to do","GM-Notizen, Spielertext und Handouts sauber trennen. Freigaben pro Kampagne, Session, Charakter oder Gruppe. Preview bauen, damit der GM sieht, was Spieler sehen."
"Globale GM-Suche und Mentions umsetzen","GM Kampagnen-Suite: Kampagnen-Hub, Vorbereitung und Live-Session-Dashboard","to do","Globale Suche mit Typ-, Status-, Tag-, Kampagnen-, Session- und Sichtbarkeitsfilter. Mentions/Links in Textfeldern und Ruecklinks auf verwendende Eintraege."
"GM Screen als konfigurierbare Live-Ansicht bauen","GM Kampagnen-Suite: Kampagnen-Hub, Vorbereitung und Live-Session-Dashboard","to do","Mehrere Screen-Layouts, Section Library, Controls ausblenden, Layout resetten. Sektionen fuer Regeln, Tracker, aktive Szene, Gegner, NSC und Notizen."
"Migration, Tests und QA fuer bestehende GM-Daten","GM Kampagnen-Suite: Kampagnen-Hub, Vorbereitung und Live-Session-Dashboard","to do","Bestehende Kampagnen, Sessions, Shops, Handouts, Gegner und Custom GM Modules ohne Datenverlust migrieren. Tests fuer Datenmodell, Store-Updates und zentrale UI-Flows."
